"SE w", "SE h", "Threads", "Run 1", "Run 2", "Run 3", "Loop x100", 
7, 7, 4, 1.4249, 1.42456, 1.42592, 130.507, 
7, 7, 8, 1.45963, 1.43101, 1.42138, 129.722, 
7, 7, 16, 1.45547, 1.44246, 1.42098, 129.447, 
7, 7, 32, 1.45867, 1.44121, 1.42129, 129.669, 
