"SE w", "SE h", "Threads", "Run 1", "Run 2", "Run 3", "Loop x100", 
7, 7, 4, 2.2123, 2.1372, 2.13014, 198.757, 
7, 7, 8, 2.18336, 2.12063, 2.12221, 196.254, 
7, 7, 16, 2.17831, 2.1271, 2.12806, 195.846, 
7, 7, 32, 2.18357, 2.14261, 2.17352, 195.485, 
