"SE w", "SE h", "Threads", "Run 1", "Run 2", "Run 3", "Loop x100", 
7, 7, 4, 1.21912, 1.13799, 1.13676, 47.7406, 
7, 7, 8, 1.19404, 1.17084, 1.16745, 51.0796, 
7, 7, 16, 1.29909, 1.21266, 1.17212, 49.8704, 
7, 7, 32, 1.15796, 1.19763, 1.20712, 45.942, 
