"SE w", "SE h", "Threads", "Loops", "Benchs", "Avarage [S]", "Variance", 
3, 3, 1, 3, 50, 2.7758, 8.92718e-05, 
3, 3, 2, 3, 50, 1.6132, 0.000295211, 
3, 3, 4, 3, 50, 1.44782, 0.000340067, 
3, 3, 8, 3, 50, 1.44388, 0.00171711, 
3, 3, 16, 3, 50, 1.40192, 0.000140308, 
3, 3, 32, 3, 50, 1.40177, 4.31129e-06, 
