"SE w", "SE h", "Threads", "Loops", "Benchs", "Avarage [S]", "Variance", 
3, 3, 32, 2, 30, 0.646366, 9.29982e-05, 
3, 3, 16, 2, 30, 0.650838, 0.000110864, 
3, 3, 8, 2, 30, 0.67105, 0.000800376, 
3, 3, 4, 2, 30, 0.649501, 0.000168278, 
3, 3, 2, 2, 30, 0.722296, 0.000101582, 
3, 3, 1, 2, 30, 1.20905, 0.000113245, 
7, 7, 32, 2, 20, 2.26588, 0.000320926, 
7, 7, 16, 2, 20, 2.26282, 0.000142165, 
7, 7, 8, 2, 20, 2.31018, 0.000860682, 
7, 7, 4, 2, 20, 2.2961, 0.000444992, 
7, 7, 2, 2, 20, 2.53039, 0.000239397, 
7, 7, 1, 2, 20, 4.53062, 0.000582244, 
11, 11, 32, 1, 15, 2.53997, 8.52817e-05, 
11, 11, 16, 1, 15, 2.54469, 0.000243107, 
11, 11, 8, 1, 15, 2.55744, 0.000399641, 
11, 11, 4, 1, 15, 2.54675, 0.000266406, 
11, 11, 2, 1, 15, 2.8085, 5.47274e-05, 
11, 11, 1, 1, 15, 5.09074, 0.00029729, 
19, 19, 32, 1, 7, 7.31596, 0.000111115, 
19, 19, 16, 1, 7, 7.31186, 0.000562397, 
19, 19, 8, 1, 7, 7.30182, 0.00199397, 
19, 19, 4, 1, 7, 7.31864, 0.000182413, 
19, 19, 2, 1, 7, 8.09999, 8.37851e-05, 
19, 19, 1, 1, 7, 14.8315, 8.8014e-05, 
