"SE w", "SE h", "Threads", "Run 1", "Run 2", "Run 3", "Loop x100", 
21, 21, 4, 1.09089, 1.07007, 1.0706, 535.785, 
21, 21, 8, 1.08903, 1.1007, 1.09843, 542.791, 
21, 21, 16, 1.07806, 1.0734, 1.07224, 535.405, 
21, 21, 32, 1.07012, 1.0715, 1.07063, 534.881, 
