"SE w", "SE h", "Threads", "Loops", "Benchs", "Avarage [S]", "Variance", 
3, 3, 1, 3, 50, 0.258905, 3.11686e-06, 
3, 3, 2, 3, 50, 0.151406, 2.82432e-08, 
3, 3, 4, 3, 50, 0.12337, 3.66776e-09, 
3, 3, 8, 3, 50, 0.124618, 5.69208e-06, 
3, 3, 16, 3, 50, 0.124778, 2.9993e-06, 
3, 3, 32, 3, 50, 0.122083, 1.0822e-06, 
