"SE w", "SE h", "Threads", "Run 1", "Run 2", "Run 3", "Loop x100", 
21, 21, 4, 1.07668, 1.07398, 1.07397, 537.472, 
21, 21, 8, 1.10278, 1.07837, 1.08852, 545.079, 
21, 21, 16, 1.0771, 1.07384, 1.0748, 537.65, 
21, 21, 32, 1.07532, 1.0744, 1.07386, 536.986, 
