"SE w", "SE h", "Threads", "Run 1", "Run 2", "Run 3", "Loop x100", 
21, 21, 4, 1.07655, 1.07379, 1.07445, 537.516, 
21, 21, 8, 1.08552, 1.09257, 1.0813, 544.35, 
21, 21, 16, 1.0758, 1.07616, 1.07999, 537.507, 
21, 21, 32, 1.07293, 1.0749, 1.07381, 536.979, 
