"SE w", "SE h", "Threads", "Run 1", "Run 2", "Run 3", "Loop x100", 
7, 7, 4, 0.141185, 0.138341, 0.138763, 13.9205, 
7, 7, 8, 0.144137, 0.139678, 0.140585, 14.046, 
7, 7, 16, 0.139014, 0.13929, 0.142889, 13.9871, 
7, 7, 32, 0.142524, 0.141324, 0.13928, 13.96, 
