"SE w", "SE h", "Threads", "Run 1", "Run 2", "Run 3", "Loop x100", 
7, 7, 4, 0.141235, 0.138385, 0.138836, 13.9171, 
7, 7, 8, 0.141463, 0.140429, 0.139078, 14.08, 
7, 7, 16, 0.141296, 0.142817, 0.142455, 13.9986, 
7, 7, 32, 0.140553, 0.140022, 0.141206, 13.9757, 
