"SE w", "SE h", "Threads", "Loops", "Benchs", "Avarage [S*1]", "Variance", 
7, 7, 8, 10, 100, 0.131688, 2.40537e-05, 
7, 7, 16, 10, 100, 0.13069, 4.99367e-06, 
