"SE w", "SE h", "Threads", "Run 1", "Run 2", "Run 3", "Loop x100", 
7, 7, 4, 1.13772, 1.15477, 1.15128, 110.002, 
7, 7, 8, 1.1328, 1.13888, 1.14177, 110.691, 
7, 7, 16, 1.1437, 1.15063, 1.13821, 107.628, 
7, 7, 32, 1.13885, 1.14425, 1.13789, 107.803, 
