"SE w", "SE h", "Threads", "Run 1", "Run 2", "Run 3", "Loop x100", 
7, 7, 4, 1.76909, 1.76645, 1.77558, 174.713, 
7, 7, 8, 1.76929, 1.79549, 1.79696, 174.542, 
7, 7, 16, 1.765, 1.76892, 1.76704, 171.605, 
7, 7, 32, 1.77333, 1.76781, 1.76858, 171.702, 
