"SE w", "SE h", "Threads", "Loops", "Benchs", "Avarage [S]", "Variance", 
3, 3, 1, 3, 50, 1.72481, 4.29625e-05, 
3, 3, 2, 3, 50, 1.0109, 1.01686e-06, 
3, 3, 4, 3, 50, 0.912377, 3.19984e-07, 
3, 3, 8, 3, 50, 0.934183, 0.00060474, 
3, 3, 16, 3, 50, 0.913469, 6.39996e-06, 
3, 3, 32, 3, 50, 0.911427, 1.95914e-06, 
