"SE w", "SE h", "Threads", "Loops", "Benchs", "Avarage [S]", "Variance", 
3, 3, 1, 3, 50, 0.258068, 3.81762e-08, 
3, 3, 2, 3, 50, 0.151241, 4.2128e-08, 
3, 3, 4, 3, 50, 0.122888, 2.7943e-07, 
3, 3, 8, 3, 50, 0.124845, 3.78535e-06, 
3, 3, 16, 3, 50, 0.124215, 2.25979e-06, 
3, 3, 32, 3, 50, 0.12124, 6.06635e-07, 
